level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	22	1	2	1	672	53	14	10	0.000000	82
5	1	22	1	2	2	693	52	87	11	96.172073	Switchboard
5	1	22	1	2	3	1214	53	10	10	68.727554	@
5	1	22	1	2	4	1250	53	10	10	34.422092	KR
5	1	22	1	2	5	1286	55	7	6	93.135262	x
4	1	22	1	3	0	687	97	141	14	-1	
5	1	22	1	3	1	687	101	10	4	42.558136	~
5	1	22	1	3	2	703	88	30	30	87.640900	Back
5	1	22	1	3	3	739	98	12	10	87.640900	to
5	1	22	1	3	4	757	97	37	11	96.761986	board
5	1	22	1	3	5	799	98	29	13	96.511406	(Esc)
4	1	22	1	4	0	671	136	617	30	-1	
5	1	22	1	4	1	671	136	45	30	5.088530	#622
5	1	22	1	4	2	1022	146	108	14	1.155157	#ID—prompt(t)
5	1	22	1	4	3	1166	145	80	15	50.427635	Openfile(o)
5	1	22	1	4	4	1281	149	7	7	44.177505	x
4	1	22	1	5	0	684	183	601	18	-1	
5	1	22	1	5	1	684	183	43	14	96.616264	drive
5	1	22	1	5	2	732	183	47	14	96.958313	demo
5	1	22	1	5	3	784	183	37	14	96.643295	card
5	1	22	1	5	4	826	183	35	18	96.973495	chip
5	1	22	1	5	5	1085	185	8	8	0.000000	‘&
5	1	22	1	5	6	1100	184	24	11	88.266335	Edit
5	1	22	1	5	7	1128	185	16	13	88.266335	(e)
5	1	22	1	5	8	1186	184	19	11	48.915066	<I
5	1	22	1	5	9	1210	184	41	11	79.605881	Delete
5	1	22	1	5	10	1256	184	29	14	94.673332	(Del)
2	1	23	0	0	0	678	204	620	2	-1	
3	1	23	1	0	0	678	204	620	2	-1	
4	1	23	1	1	0	678	204	620	2	-1	
5	1	23	1	1	1	678	204	620	2	95.000000	 
2	1	24	0	0	0	680	215	308	1	-1	
3	1	24	1	0	0	680	215	308	1	-1	
4	1	24	1	1	0	680	215	308	1	-1	
5	1	24	1	1	1	680	215	308	1	95.000000	 
2	1	25	0	0	0	680	214	302	28	-1	
3	1	25	1	0	0	680	214	302	28	-1	
4	1	25	1	1	0	680	214	302	28	-1	
5	1	25	1	1	1	680	214	41	28	95.633453	Inbox
5	1	25	1	1	2	841	226	8	4	0.000000	~
5	1	25	1	1	3	877	223	56	10	49.261436	Features
5	1	25	1	1	4	974	226	8	4	0.000000	.
2	1	26	0	0	0	676	254	363	12	-1	
3	1	26	1	0	0	676	254	363	12	-1	
4	1	26	1	1	0	676	254	363	12	-1	
5	1	26	1	1	1	676	254	363	12	11.320333	.Switchboard/features/2026-09-20-drive-demo-card-chip.md
2	1	27	0	0	0	684	287	225	12	-1	
3	1	27	1	0	0	684	287	225	12	-1	
