# out/resume.samples.tsv  rate=100.0/s  bucket=5.0s  samples=163
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	    0.6	     0.4	   0.0	  147.7	    20	   0.057
   5.2	    0.4	     0.6	   0.0	  147.7	    18	   0.040
  10.3	    0.4	     0.4	   0.0	  147.7	    18	   0.039
  15.5	    0.6	     0.4	   0.0	  147.8	    18	   0.060
  20.5	    0.4	     0.6	   0.0	  147.8	    19	   0.040
  25.5	    0.2	     0.4	   0.0	  147.8	    18	   0.020
  30.5	    0.6	     0.6	   0.0	  147.8	    18	   0.059
  35.6	    0.5	     0.5	   0.0	  147.8	    19	   0.046
# TOTAL gui_cpu_s=0.18 proc_cpu_s=0.19 rss_start_MB=147.7 rss_end_MB=147.8 span_s=39.9
