word	package	path
screen	screen	/usr/bin/screen
script	bsdutils	/usr/bin/script
select	bash keyword	/usr/bin/script
service	init-system-helpers	/usr/sbin/service
set	bash builtin	/usr/sbin/service
sh	dash	/usr/bin/sh
shift	bash builtin	/usr/bin/sh
shred	coreutils	/usr/bin/shred
shutdown	systemd	/usr/sbin/shutdown
sieve	mailutils	/usr/bin/sieve
size	binutils-aarch64-linux-gnu	/usr/bin/size
skill	procps	/usr/bin/skill
sleep	coreutils	/usr/bin/sleep
snap	snapd	/usr/bin/snap
sort	coreutils	/usr/bin/sort
sos	sosreport	/usr/bin/sos
source	bash builtin	/usr/bin/sos
spectacle	kde-spectacle	/usr/bin/spectacle
split	coreutils	/usr/bin/split
stat	coreutils	/usr/bin/stat
stream	imagemagick-6.q16	/usr/bin/stream
strings	binutils-aarch64-linux-gnu	/usr/bin/strings
strip	binutils-aarch64-linux-gnu	/usr/bin/strip
sum	coreutils	/usr/bin/sum
sushi	gnome-sushi	/usr/bin/sushi
suspend	bash builtin	/usr/bin/sushi
sweeper	sweeper	/usr/bin/sweeper
swig	swig	/usr/bin/swig
sync	coreutils	/usr/bin/sync
tabs	ncurses-bin	/usr/bin/tabs
tail	coreutils	/usr/bin/tail
tangle	texlive-binaries	/usr/bin/tangle
tar	tar	/usr/bin/tar
tee	coreutils	/usr/bin/tee
telnet	inetutils-telnet	/usr/bin/telnet
test	bash builtin	/usr/bin/telnet
then	bash keyword	/usr/bin/telnet
tic	ncurses-bin	/usr/bin/tic
tie	texlive-binaries	/usr/bin/tie
time	bash keyword	/usr/bin/tie
times	bash builtin	/usr/bin/tie
toe	ncurses-bin	/usr/bin/toe
top	procps	/usr/bin/top
totem	totem	/usr/bin/totem
touch	coreutils	/usr/bin/touch
transform	libgts-bin	/usr/bin/transform
trap	bash builtin	/usr/bin/transform
true	bash builtin	/usr/bin/transform
truncate	coreutils	/usr/bin/truncate
trust	p11-kit	/usr/bin/trust
twill	texlive-binaries	/usr/bin/twill
type	bash builtin	/usr/bin/twill
typeset	bash builtin	/usr/bin/twill
unset	bash builtin	/usr/bin/twill
until	bash keyword	/usr/bin/twill
unzip	unzip	/usr/bin/unzip
users	coreutils	/usr/bin/users
vi	vim	/usr/bin/vi
view	vim	/usr/bin/view
vim	vim	/usr/bin/vim
w	procps	/usr/bin/w
wait	bash builtin	/usr/bin/w
wall	bsdutils	/usr/bin/wall
watch	procps	/usr/bin/watch
weave	texlive-binaries	/usr/bin/weave
which	debianutils	/usr/bin/which
while	bash keyword	/usr/bin/which
who	coreutils	/usr/bin/who
wish	tk8.6	/usr/bin/wish
write	bsdextrautils	/usr/bin/write
xterm	xterm	/usr/bin/xterm
yelp	yelp	/usr/bin/yelp
yes	coreutils	/usr/bin/yes
zip	zip	/usr/bin/zip
